,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price
95,3,3,1,1,3,1,1,0,2,1,0,2,3,0,0,45990
96,4,4,1,0,3,1,1,0,2,1,0,2,0,0,1,42490
97,4,4,1,1,3,1,1,0,2,1,0,2,0,0,1,43970
98,1,1,1,0,2,1,1,0,2,1,0,2,0,0,1,39990
99,6,6,1,1,3,1,1,0,2,1,0,2,3,0,0,48990
100,4,4,1,1,3,1,1,0,2,1,0,0,0,0,1,54990
101,6,6,1,0,3,1,1,0,2,1,0,2,3,0,0,40990
102,1,1,1,1,3,1,1,0,2,1,0,2,0,0,1,41990
103,5,5,1,1,3,1,1,0,2,1,0,2,0,1,0,54990
104,1,1,1,1,3,1,1,0,2,1,0,0,0,0,1,44990
105,4,4,1,1,3,1,1,0,2,1,0,0,0,0,0,41250
106,4,4,1,1,3,1,1,0,2,1,0,2,3,0,0,44990
108,3,3,1,1,3,1,1,0,2,1,0,0,0,1,0,60790
109,4,4,1,1,3,1,1,0,2,1,0,0,3,0,0,45650
110,3,3,1,0,3,1,1,0,2,1,0,2,0,0,1,41990
111,3,3,1,0,3,1,1,0,2,1,0,2,0,0,0,45490
112,1,1,1,1,3,1,1,0,2,1,0,2,0,0,1,44990
113,5,5,1,1,3,1,1,0,2,1,0,2,1,0,1,42990
114,4,4,1,1,2,1,1,0,2,1,0,2,0,0,1,45490
115,4,4,1,0,2,1,1,0,2,0,0,0,3,0,0,38799
116,4,4,1,1,2,1,1,0,2,1,0,0,0,1,1,69267
117,1,1,1,1,2,1,1,0,2,1,0,0,0,0,1,51649
118,4,4,1,1,2,1,1,0,2,1,0,2,0,0,1,47990
119,1,1,1,0,2,1,1,0,2,1,0,0,0,0,0,40990
120,1,1,1,0,2,1,1,0,2,1,0,2,0,0,1,42990
121,1,1,1,1,2,1,1,0,2,1,0,0,0,0,0,44890
122,1,1,1,0,2,1,1,0,2,1,0,0,0,0,0,41490
123,4,4,1,1,2,1,1,0,2,0,0,2,0,0,0,50990
124,4,4,1,1,2,1,1,0,2,1,0,2,0,0,1,48900
126,3,3,1,0,2,1,1,0,2,1,0,0,3,0,0,41790
127,5,5,1,1,2,1,1,0,2,1,0,0,0,1,1,57999
128,3,3,1,1,3,1,1,0,2,1,0,2,3,0,0,45930
129,4,4,1,1,3,1,1,0,2,1,0,0,0,1,1,55490
130,1,1,1,0,3,1,1,1,2,1,0,0,0,0,0,32890
131,5,5,1,0,3,1,1,1,2,1,0,2,0,0,1,35990
132,3,3,1,1,3,1,1,1,2,1,0,2,3,0,0,42490
133,3,3,1,1,3,1,1,1,2,1,0,2,3,0,0,42190
134,3,3,1,0,3,1,1,1,2,1,0,2,0,0,1,39490
135,4,4,1,1,3,1,1,1,2,1,0,2,0,0,1,43690
136,1,1,1,0,2,1,1,1,2,1,0,0,0,0,0,35990
137,3,3,1,1,3,1,1,1,2,0,0,0,3,0,0,43800
138,5,5,1,0,3,1,1,1,2,0,0,0,3,0,0,38990
139,1,1,1,0,2,1,1,1,2,1,0,2,0,0,0,34990
140,1,1,1,1,3,1,1,1,2,1,0,0,0,0,0,38900
141,3,3,1,0,2,1,1,1,2,1,0,2,0,0,0,39990
142,3,3,1,0,2,1,1,1,2,0,0,0,3,0,0,40890
143,5,5,1,0,2,1,1,1,2,1,0,2,0,0,0,36990
144,4,4,1,1,2,1,1,1,2,1,0,2,0,0,1,39990
145,4,4,1,1,2,1,1,1,2,1,0,2,0,0,1,41990
146,3,3,1,1,2,1,1,1,2,0,0,0,3,0,0,43970
147,4,4,1,1,2,1,1,1,2,1,0,2,0,0,0,39790
148,1,1,1,0,2,1,1,1,2,0,0,2,3,0,0,35590
149,4,4,1,0,2,1,1,1,2,1,0,2,0,0,1,36490
150,1,1,1,0,2,1,1,1,2,1,0,2,0,0,1,38990
151,1,1,1,0,2,1,1,1,2,0,0,2,3,0,0,33990
152,3,3,1,0,2,1,1,1,2,1,0,0,0,0,1,43400
153,1,1,0,7,2,4,4,3,2,0,0,0,3,0,0,24990
154,4,4,1,0,2,1,1,1,2,1,0,2,0,0,1,40750
155,3,3,1,0,2,1,1,1,2,1,0,2,0,0,1,43000
156,1,1,1,0,2,1,1,1,2,1,0,0,3,0,0,38000
157,3,3,1,1,3,1,1,1,2,1,0,2,0,0,1,37990
158,4,4,1,4,3,1,1,1,2,1,1,0,3,0,0,49279
159,5,5,1,0,3,1,1,1,2,0,0,0,3,0,0,38999
160,1,1,1,1,3,1,1,1,2,0,0,0,3,0,0,41500
161,7,7,1,1,2,1,1,1,2,0,0,0,3,0,0,36999
162,3,3,1,1,3,1,1,1,2,0,0,0,3,0,0,42900
163,1,1,0,7,2,4,4,3,2,0,0,0,3,0,0,21490
164,3,3,1,1,3,1,1,1,2,0,0,0,3,0,0,41480
165,1,1,1,0,3,1,1,1,2,1,0,0,3,0,0,32990
166,1,1,1,1,3,1,1,1,2,1,0,0,0,0,0,38680
167,1,1,0,7,2,4,4,3,2,0,0,0,3,0,0,23990
168,3,3,1,0,3,1,1,1,2,1,0,2,3,0,0,40390
169,1,1,1,0,2,1,1,1,2,1,0,2,3,0,0,33990
170,1,1,0,7,2,4,4,3,2,0,0,0,3,0,0,20490
171,3,3,1,0,3,1,1,1,2,1,0,2,0,0,1,41490
172,3,3,1,1,3,1,1,1,2,1,0,0,3,0,0,45490
173,3,3,1,1,3,1,1,1,2,1,0,0,3,0,0,44490
174,1,1,1,1,3,1,1,1,2,1,0,0,0,0,1,41890
175,3,3,1,1,2,1,1,1,2,1,0,2,0,0,1,42990
176,7,7,1,1,3,1,1,1,2,1,0,0,3,0,0,40990
177,3,3,1,1,3,1,1,1,2,1,0,2,0,0,0,48990
178,3,3,1,1,2,1,1,1,2,1,0,2,0,0,1,43590
179,3,3,1,0,2,1,1,1,2,1,0,0,0,0,0,44690
180,1,1,1,0,2,1,1,1,2,1,0,0,3,0,0,40990
181,3,3,1,1,2,1,1,1,2,1,0,2,0,0,1,43990
183,3,3,1,0,2,1,1,1,2,1,0,2,0,0,1,41390
184,3,3,1,0,2,1,1,1,2,1,0,2,0,0,1,44290
185,3,3,1,1,2,1,1,1,2,1,0,0,0,0,0,48999
186,3,3,1,1,2,1,1,1,2,1,0,2,0,0,1,39990
187,3,3,1,0,3,1,1,1,2,1,0,2,3,0,0,46390
188,1,1,0,7,2,4,4,3,2,1,0,0,3,0,0,18990
189,1,1,0,7,2,4,4,3,2,0,0,0,3,0,0,17990
190,4,4,0,7,2,1,1,3,2,1,0,0,3,0,0,26470
191,4,4,0,7,2,1,1,3,2,1,0,0,3,0,0,27990
192,5,5,0,7,2,1,1,1,2,0,0,0,3,0,0,29999
193,5,5,0,7,2,5,5,3,2,1,0,0,3,0,0,25990
194,5,5,0,7,2,4,4,3,2,0,0,0,3,0,0,16990
195,5,5,0,7,2,4,4,3,2,0,0,0,3,0,0,24990
196,7,7,2,7,3,2,2,3,2,0,2,0,3,0,0,50990
197,7,7,2,7,3,4,4,3,2,0,0,0,0,0,0,119990
198,7,7,2,0,3,4,4,3,0,0,0,0,3,0,0,94190
199,1,1,2,0,3,4,4,3,0,0,2,0,3,0,0,106167
200,3,3,2,0,3,4,4,3,0,0,2,0,0,0,0,68090
201,3,3,2,0,3,4,4,3,0,0,0,2,0,0,0,139990
202,4,4,2,0,3,4,4,3,0,0,0,2,3,0,0,55990
203,4,4,2,0,3,4,4,3,0,0,2,0,3,0,0,102551
204,5,5,2,0,3,4,4,3,0,0,1,0,3,0,0,46990
205,4,4,2,5,3,1,1,0,2,1,0,2,0,0,0,76012
206,5,5,2,1,3,1,1,0,2,1,0,0,1,0,1,49490
207,7,7,2,4,3,0,0,0,2,1,0,2,0,0,1,86867
208,1,1,2,1,3,1,1,0,2,1,0,2,0,0,0,48990
209,3,3,2,1,3,1,1,0,2,1,0,2,3,0,0,55990
210,7,7,2,5,3,0,0,0,2,1,0,2,0,1,1,81998
211,4,4,2,5,3,1,1,0,2,1,0,0,0,1,1,136590
212,7,7,2,5,3,1,1,0,2,1,0,2,0,0,0,59490
213,1,1,2,1,3,1,1,0,2,1,0,2,0,0,0,49800
214,5,5,2,1,3,1,1,0,2,1,0,0,0,0,1,61999
215,4,4,2,1,3,1,1,0,2,1,0,2,3,0,0,54990
216,4,4,2,1,3,1,1,0,2,1,0,2,0,0,0,53990
217,5,5,2,1,3,1,1,0,2,1,0,0,1,0,1,52990
218,4,4,2,1,0,1,1,0,2,1,0,2,0,0,1,67990
219,1,1,2,0,3,1,1,0,2,1,2,1,0,0,0,57990
220,5,5,2,1,0,1,1,0,2,1,0,2,0,0,1,62300
221,5,5,2,1,3,1,1,0,2,1,0,2,0,0,0,52990
222,5,5,2,1,3,1,1,0,2,1,0,2,1,0,1,51990
223,5,5,2,1,0,1,1,0,2,1,0,2,3,0,0,61990
224,1,1,2,1,3,5,5,0,2,0,0,0,0,1,1,63990
225,5,5,2,1,3,1,1,0,2,1,0,0,0,0,1,65990
226,7,7,2,1,3,1,1,0,2,1,0,2,0,0,0,52990
227,5,5,2,0,3,1,1,0,2,1,0,2,0,0,0,49990
228,1,1,2,1,3,1,1,0,2,1,2,1,3,0,0,71990
229,1,1,2,0,3,1,1,0,2,1,0,0,0,0,0,47990
230,5,5,2,0,3,1,1,0,2,0,0,2,1,0,1,48490
